"tail.node"	"head.node"	"capacity..veh.h."	"length..miles."	"fftt.min."	"Power"	"B"	"Flow"	"speed.limit..mph."	"toll..cents."	"link.type"	"X"
176	8759	99999	0	1.05779	3.6	0.9	0	0	0	1	";"
176	34755	99999	0	0.53343	3.6	0.9	0	0	0	1	";"
177	8897	99999	0	0.98465	3.6	0.9	0	0	0	1	";"
177	9038	99999	0	1.09675	3.6	0.9	0	0	0	1	";"
178	9038	99999	0	1.36237	3.6	0.9	0	0	0	1	";"
178	34745	99999	0	0.97234	3.6	0.9	0	0	0	1	";"
179	34796	99999	0	0.84319	3.6	0.9	0	0	0	1	";"
180	9511	99999	0	0.96716	3.6	0.9	0	0	0	1	";"
181	34860	99999	0	0.97002	3.6	0.9	0	0	0	1	";"
181	34862	99999	0	0.98998	3.6	0.9	0	0	0	1	";"
181	54218	99999	0	1.00192	3.6	0.9	0	0	0	1	";"
182	34793	99999	0	1.47483	3.6	0.9	0	0	0	1	";"
182	34860	99999	0	1.13322	3.6	0.9	0	0	0	1	";"
183	40451	99999	0	1.17231	3.6	0.9	0	0	0	1	";"
184	34770	99999	0	1.37767	3.6	0.9	0	0	0	1	";"
184	34772	99999	0	1.36325	3.6	0.9	0	0	0	1	";"
185	34624	99999	0	3.26337	3.6	0.9	0	0	0	1	";"
185	40450	99999	0	1.25515	3.6	0.9	0	0	0	1	";"
186	34577	99999	0	0.96897	3.6	0.9	0	0	0	1	";"
186	34624	99999	0	0.94339	3.6	0.9	0	0	0	1	";"
187	34577	99999	0	1.85211	3.6	0.9	0	0	0	1	";"
187	34579	99999	0	0.56105	3.6	0.9	0	0	0	1	";"
188	18908	99999	0	1.38404	3.6	0.9	0	0	0	1	";"
188	34581	99999	0	1.39173	3.6	0.9	0	0	0	1	";"
189	40445	99999	0	1.03989	3.6	0.9	0	0	0	1	";"
190	34566	99999	0	0.7009	3.6	0.9	0	0	0	1	";"
191	54580	99999	0	0.68469	3.6	0.9	0	0	0	1	";"
192	34568	99999	0	0.64822	3.6	0.9	0	0	0	1	";"
193	34770	99999	0	1.6069	3.6	0.9	0	0	0	1	";"
193	34781	99999	0	1.18753	3.6	0.9	0	0	0	1	";"
194	34594	99999	0	2.25592	3.6	0.9	0	0	0	1	";"
194	34770	99999	0	2.71352	3.6	0.9	0	0	0	1	";"
195	34594	99999	0	1.19734	3.6	0.9	0	0	0	1	";"
195	34621	99999	0	1.12939	3.6	0.9	0	0	0	1	";"
195	54591	99999	0	0.97539	3.6	0.9	0	0	0	1	";"
196	34599	99999	0	0.50044	3.6	0.9	0	0	0	1	";"
196	54588	99999	0	1.28149	3.6	0.9	0	0	0	1	";"
197	34376	99999	0	1.969	3.6	0.9	0	0	0	1	";"
197	34779	99999	0	2.90278	3.6	0.9	0	0	0	1	";"
198	40511	99999	0	1.29561	3.6	0.9	0	0	0	1	";"
199	34375	99999	0	0.83485	3.6	0.9	0	0	0	1	";"
199	34543	99999	0	0.84631	3.6	0.9	0	0	0	1	";"
200	34376	99999	0	1.58373	3.6	0.9	0	0	0	1	";"
200	34501	99999	0	1.50746	3.6	0.9	0	0	0	1	";"
200	34544	99999	0	1.21397	3.6	0.9	0	0	0	1	";"
201	34528	99999	0	1.29971	3.6	0.9	0	0	0	1	";"
201	34545	99999	0	0.44229	3.6	0.9	0	0	0	1	";"
202	40449	99999	0	1.16112	3.6	0.9	0	0	0	1	";"
203	34521	99999	0	0.43212	3.6	0.9	0	0	0	1	";"
204	34399	99999	0	0.88125	3.6	0.9	0	0	0	1	";"
205	34399	99999	0	1.47149	3.6	0.9	0	0	0	1	";"
205	40447	99999	0	0.62542	3.6	0.9	0	0	0	1	";"
206	40446	99999	0	1.40416	3.6	0.9	0	0	0	1	";"
207	7704	99999	0	1.1856	3.6	0.9	0	0	0	1	";"
207	40445	99999	0	1.14089	3.6	0.9	0	0	0	1	";"
207	40446	99999	0	1.28686	3.6	0.9	0	0	0	1	";"
