zoneId	Latitude	Longitude
2954	44.9013670789422	-92.405410857225
2956	44.9014580356501	-92.3164158792369
2958	44.9388219752089	-92.1936339342025
2959	44.8954658898549	-92.19749469756
1091	45.0777466978366	-93.3261706942165
1092	45.0756474643367	-93.3080565175868
1093	45.0836523806501	-93.3095728215866
1094	45.0839711028617	-93.2944993871313
1095	45.0770520078992	-93.2933792374985
1096	45.0714986565287	-93.292341523305
1097	45.0791513116753	-93.2836315631349
1098	45.0603454171921	-93.2885899861716
1099	45.0545145396836	-93.3050544663888
11	45.3775718391352	-93.3038838188884
110	45.2044216060083	-93.2862190103444
1100	45.0629676940625	-93.2985321039651
1101	45.0647573904208	-93.3062129194886
1102	45.0669461122324	-93.3147260871066
1103	45.0726444385882	-93.3250347132701
1104	45.0649643428619	-93.3225881855309
