"N"	"lon"	"lat"	"X"
373	-93.68419787	44.88349177	";"
374	-93.63934719	44.88711867	";"
375	-93.61526343	44.86910001	";"
376	-93.59964416	44.88013883	";"
377	-93.58745923	44.85647633	";"
378	-93.59285587	44.84798981	";"
379	-93.58737517	44.83087116	";"
380	-93.59059529	44.81233553	";"
381	-93.59259209	44.79973029	";"
382	-93.56774105	44.79858359	";"
383	-93.56737991	44.81350059	";"
384	-93.52922438	44.81595938	";"
385	-93.52949574	44.83658821	";"
386	-93.54751532	44.82602643	";"
387	-93.56337231	44.83348822	";"
388	-93.55687071	44.85205806	";"
389	-93.57156762	44.85300398	";"
390	-93.58219108	44.87556654	";"
391	-93.56160911	44.87565165	";"
392	-93.54435617	44.85055949	";"
393	-93.52836081	44.85285695	";"
394	-93.53824656	44.87267399	";"
395	-93.52824514	44.88251973	";"
396	-93.12576058	44.91322741	";"
397	-93.11321549	44.91226894	";"
398	-93.10976096	44.90384563	";"
399	-93.1211172	44.90317766	";"
400	-93.13011162	44.90228912	";"
401	-93.1436232	44.89904198	";"
402	-93.15866554	44.88756481	";"
403	-93.13865067	44.89470972	";"
404	-93.14021168	44.88768064	";"
405	-93.12519647	44.89468953	";"
406	-93.11238473	44.89428137	";"
407	-93.11397931	44.88701693	";"
408	-93.12818904	44.88713997	";"
409	-93.17954285	44.87256406	";"
410	-93.16352139	44.86623667	";"
411	-93.15196115	44.87501928	";"
412	-93.1354973	44.87266728	";"
413	-93.11883264	44.87577145	";"
414	-93.11416543	44.86748659	";"
415	-93.09542533	44.87237046	";"
416	-93.10231145	44.88733741	";"
417	-93.08867761	44.88590551	";"
418	-93.08828618	44.8944354	";"
419	-93.10093641	44.89445058	";"
420	-93.10093155	44.90163647	";"
421	-93.08862278	44.89965197	";"
422	-93.08806764	44.90261367	";"
423	-93.08825925	44.90638379	";"
424	-93.10092214	44.90885875	";"
425	-93.08833494	44.91061639	";"
426	-93.07691763	44.90607521	";"
427	-93.06983063	44.9077273	";"
428	-93.06155877	44.90677894	";"
429	-93.05535531	44.90947753	";"
430	-93.04948361	44.91358822	";"
431	-93.0429731	44.89760781	";"
