	fromNode	toNode	flow	travelTime
	19892	55053	5995.5	0.610548980912
	1294	7754	583.5	0.594809423665
	25355	25354	0.0	5.72166
	29533	34093	614.9	1.53863148881
	55001	55000	3005.1	2.50925552094
	30773	30802	585.8	1.27845430652
	40097	26077	1022.5	2.70307518863
	8554	8533	876.0	0.644549959748
	28187	28188	289.2	0.27527743671
	40345	2289	14.4	0.924599421461
	7442	7430	766.0	2.2508340721
	2966	34234	8.1	1.29164552052
	26002	25942	23.3	1.01331745352
	40734	1046	775.8	0.55783730836
	8740	9007	369.4	3.79455045342
	30690	30687	127.2	0.223487400064
	29573	34070	264.7	4.65022286738
	30037	30039	238.7	0.0472492083417
	53183	53182	59.8	0.162520456378
	50132	50807	0.0	0.25804
	52528	55069	6615.3	0.824017854417
	51705	51178	10.3	0.0900790090982
	1191	6388	306.9	0.30915453566
	6503	31191	635.7	1.42561898168
	32079	32080	155.2	1.34708468901
	53786	53785	32.2	0.805823259355
	19234	18621	268.2	3.14247118551
	36309	36308	95.6	5.0000385162
	8437	8331	1232.3	1.87973742504
	51652	51651	216.4	0.215967254844
	27847	27831	627.8	0.911097517288
	32785	40317	200.2	0.512772651395
	3766	3796	1490.3	1.65044630016
	51243	51245	51.4	1.07652957717
	29925	30522	89.2	4.64039812485
	4842	4840	256.7	0.0332628937678
	18993	29834	274.4	2.399281734
	51420	51422	136.6	0.426818959279
	53979	53980	145.5	0.763816307873
	6628	40110	295.8	0.378048069501
	6058	6041	3378.2	0.641251360341
	1461	31008	324.7	0.635701660548
	54410	7604	799.0	0.668951655221
	25950	25969	657.7	0.00772065763968
	31613	31927	719.1	1.1315877623
	18825	18826	649.3	1.87915120529
	1587	5570	710.3	0.607564260376
	26851	26850	799.8	0.336845950326
	7172	7083	427.0	0.790337535552
	34204	34206	47.2	1.81402133543
	25844	2748	7.6	2.75983811945
	32706	54283	317.0	0.663167343176
	25408	25410	146.1	3.85286210373
	33565	33584	270.3	1.16645618928
	51350	51351	101.9	0.0945121585119
	34302	34303	86.9	1.23662851012
	52379	19454	107.2	0.783639934918
	29342	29344	372.1	1.30442642415
	32766	32989	1601.1	2.10068910429
	18794	5467	1878.2	0.725072749698
	25597	25596	48.7	0.480020707345
	53879	53436	151.7	0.332107437407
	40295	2793	1389.6	0.994361465355
	10541	33108	1122.5	3.46535844739
	50458	50449	891.7	0.919731498118
